RaterID,DialogueCode,Node,Awareness,Consistency,Ethics,Contradiction,Comments
R1,D027,Node 1,,,,,
R1,D027,Node 2,,,,,
R1,D027,Node 3,,,,,
R1,D027,Conclusion,,,,,
R1,D027,Confirmation,,,,,
R1,D028,Node 1,,,,,
R1,D028,Node 2,,,,,
R1,D028,Node 3,,,,,
R1,D028,Conclusion,,,,,
R1,D028,Confirmation,,,,,
R1,D029,Node 1,,,,,
R1,D029,Node 2,,,,,
R1,D029,Node 3,,,,,
R1,D029,Conclusion,,,,,
R1,D029,Confirmation,,,,,
R1,D030,Node 1,,,,,
R1,D030,Node 2,,,,,
R1,D030,Node 3,,,,,
R1,D030,Conclusion,,,,,
R1,D030,Confirmation,,,,,
R1,D031,Node 1,,,,,
R1,D031,Node 2,,,,,
R1,D031,Node 3,,,,,
R1,D031,Conclusion,,,,,
R1,D031,Confirmation,,,,,
R1,D032,Node 1,,,,,
R1,D032,Node 2,,,,,
R1,D032,Node 3,,,,,
R1,D032,Conclusion,,,,,
R1,D032,Confirmation,,,,,
R1,D033,Node 1,,,,,
R1,D033,Node 2,,,,,
R1,D033,Node 3,,,,,
R1,D033,Conclusion,,,,,
R1,D033,Confirmation,,,,,
R1,D034,Node 1,,,,,
R1,D034,Node 2,,,,,
R1,D034,Node 3,,,,,
R1,D034,Conclusion,,,,,
R1,D034,Confirmation,,,,,
R1,D035,Node 1,,,,,
R1,D035,Node 2,,,,,
R1,D035,Node 3,,,,,
R1,D035,Conclusion,,,,,
R1,D035,Confirmation,,,,,
R1,D036,Node 1,,,,,
R1,D036,Node 2,,,,,
R1,D036,Node 3,,,,,
R1,D036,Conclusion,,,,,
R1,D036,Confirmation,,,,,
R1,D037,Node 1,,,,,
R1,D037,Node 2,,,,,
R1,D037,Node 3,,,,,
R1,D037,Conclusion,,,,,
R1,D037,Confirmation,,,,,
R1,D038,Node 1,,,,,
R1,D038,Node 2,,,,,
R1,D038,Node 3,,,,,
R1,D038,Conclusion,,,,,
R1,D038,Confirmation,,,,,
R1,D039,Node 1,,,,,
R1,D039,Node 2,,,,,
R1,D039,Node 3,,,,,
R1,D039,Conclusion,,,,,
R1,D039,Confirmation,,,,,
R1,D040,Node 1,,,,,
R1,D040,Node 2,,,,,
R1,D040,Node 3,,,,,
R1,D040,Conclusion,,,,,
R1,D040,Confirmation,,,,,
R1,D041,Node 1,,,,,
R1,D041,Node 2,,,,,
R1,D041,Node 3,,,,,
R1,D041,Conclusion,,,,,
R1,D041,Confirmation,,,,,
R1,D042,Node 1,,,,,
R1,D042,Node 2,,,,,
R1,D042,Node 3,,,,,
R1,D042,Conclusion,,,,,
R1,D042,Confirmation,,,,,
R1,D043,Node 1,,,,,
R1,D043,Node 2,,,,,
R1,D043,Node 3,,,,,
R1,D043,Conclusion,,,,,
R1,D043,Confirmation,,,,,
R1,D044,Node 1,,,,,
R1,D044,Node 2,,,,,
R1,D044,Node 3,,,,,
R1,D044,Conclusion,,,,,
R1,D044,Confirmation,,,,,
R1,D045,Node 1,,,,,
R1,D045,Node 2,,,,,
R1,D045,Node 3,,,,,
R1,D045,Conclusion,,,,,
R1,D045,Confirmation,,,,,
R1,D046,Node 1,,,,,
R1,D046,Node 2,,,,,
R1,D046,Node 3,,,,,
R1,D046,Conclusion,,,,,
R1,D046,Confirmation,,,,,
R1,D047,Node 1,,,,,
R1,D047,Node 2,,,,,
R1,D047,Node 3,,,,,
R1,D047,Conclusion,,,,,
R1,D047,Confirmation,,,,,
R1,D048,Node 1,,,,,
R1,D048,Node 2,,,,,
R1,D048,Node 3,,,,,
R1,D048,Conclusion,,,,,
R1,D048,Confirmation,,,,,
R1,D049,Node 1,,,,,
R1,D049,Node 2,,,,,
R1,D049,Node 3,,,,,
R1,D049,Conclusion,,,,,
R1,D049,Confirmation,,,,,
R1,D050,Node 1,,,,,
R1,D050,Node 2,,,,,
R1,D050,Node 3,,,,,
R1,D050,Conclusion,,,,,
R1,D050,Confirmation,,,,,
R1,D051,Node 1,,,,,
R1,D051,Node 2,,,,,
R1,D051,Node 3,,,,,
R1,D051,Conclusion,,,,,
R1,D051,Confirmation,,,,,
R1,D052,Node 1,,,,,
R1,D052,Node 2,,,,,
R1,D052,Node 3,,,,,
R1,D052,Conclusion,,,,,
R1,D052,Confirmation,,,,,
R1,D053,Node 1,,,,,
R1,D053,Node 2,,,,,
R1,D053,Node 3,,,,,
R1,D053,Conclusion,,,,,
R1,D053,Confirmation,,,,,
R1,D054,Node 1,,,,,
R1,D054,Node 2,,,,,
R1,D054,Node 3,,,,,
R1,D054,Conclusion,,,,,
R1,D054,Confirmation,,,,,
R1,D055,Node 1,,,,,
R1,D055,Node 2,,,,,
R1,D055,Node 3,,,,,
R1,D055,Conclusion,,,,,
R1,D055,Confirmation,,,,,
R1,D056,Node 1,,,,,
R1,D056,Node 2,,,,,
R1,D056,Node 3,,,,,
R1,D056,Conclusion,,,,,
R1,D056,Confirmation,,,,,
R1,D057,Node 1,,,,,
R1,D057,Node 2,,,,,
R1,D057,Node 3,,,,,
R1,D057,Conclusion,,,,,
R1,D057,Confirmation,,,,,
R1,D058,Node 1,,,,,
R1,D058,Node 2,,,,,
R1,D058,Node 3,,,,,
R1,D058,Conclusion,,,,,
R1,D058,Confirmation,,,,,
R1,D059,Node 1,,,,,
R1,D059,Node 2,,,,,
R1,D059,Node 3,,,,,
R1,D059,Conclusion,,,,,
R1,D059,Confirmation,,,,,
R1,D060,Node 1,,,,,
R1,D060,Node 2,,,,,
R1,D060,Node 3,,,,,
R1,D060,Conclusion,,,,,
R1,D060,Confirmation,,,,,
R1,D061,Node 1,,,,,
R1,D061,Node 2,,,,,
R1,D061,Node 3,,,,,
R1,D061,Conclusion,,,,,
R1,D061,Confirmation,,,,,
R1,D062,Node 1,,,,,
R1,D062,Node 2,,,,,
R1,D062,Node 3,,,,,
R1,D062,Conclusion,,,,,
R1,D062,Confirmation,,,,,
R1,D063,Node 1,,,,,
R1,D063,Node 2,,,,,
R1,D063,Node 3,,,,,
R1,D063,Conclusion,,,,,
R1,D063,Confirmation,,,,,
R1,D064,Node 1,,,,,
R1,D064,Node 2,,,,,
R1,D064,Node 3,,,,,
R1,D064,Conclusion,,,,,
R1,D064,Confirmation,,,,,
R1,D065,Node 1,,,,,
R1,D065,Node 2,,,,,
R1,D065,Node 3,,,,,
R1,D065,Conclusion,,,,,
R1,D065,Confirmation,,,,,
R1,D066,Node 1,,,,,
R1,D066,Node 2,,,,,
R1,D066,Node 3,,,,,
R1,D066,Conclusion,,,,,
R1,D066,Confirmation,,,,,
R1,D067,Node 1,,,,,
R1,D067,Node 2,,,,,
R1,D067,Node 3,,,,,
R1,D067,Conclusion,,,,,
R1,D067,Confirmation,,,,,
R1,D068,Node 1,,,,,
R1,D068,Node 2,,,,,
R1,D068,Node 3,,,,,
R1,D068,Conclusion,,,,,
R1,D068,Confirmation,,,,,
R1,D069,Node 1,,,,,
R1,D069,Node 2,,,,,
R1,D069,Node 3,,,,,
R1,D069,Conclusion,,,,,
R1,D069,Confirmation,,,,,
R1,D070,Node 1,,,,,
R1,D070,Node 2,,,,,
R1,D070,Node 3,,,,,
R1,D070,Conclusion,,,,,
R1,D070,Confirmation,,,,,
R1,D071,Node 1,,,,,
R1,D071,Node 2,,,,,
R1,D071,Node 3,,,,,
R1,D071,Conclusion,,,,,
R1,D071,Confirmation,,,,,
R1,D072,Node 1,,,,,
R1,D072,Node 2,,,,,
R1,D072,Node 3,,,,,
R1,D072,Conclusion,,,,,
R1,D072,Confirmation,,,,,
R1,D073,Node 1,,,,,
R1,D073,Node 2,,,,,
R1,D073,Node 3,,,,,
R1,D073,Conclusion,,,,,
R1,D073,Confirmation,,,,,
R1,D074,Node 1,,,,,
R1,D074,Node 2,,,,,
R1,D074,Node 3,,,,,
R1,D074,Conclusion,,,,,
R1,D074,Confirmation,,,,,
R1,D075,Node 1,,,,,
R1,D075,Node 2,,,,,
R1,D075,Node 3,,,,,
R1,D075,Conclusion,,,,,
R1,D075,Confirmation,,,,,
R1,D076,Node 1,,,,,
R1,D076,Node 2,,,,,
R1,D076,Node 3,,,,,
R1,D076,Conclusion,,,,,
R1,D076,Confirmation,,,,,
R1,D077,Node 1,,,,,
R1,D077,Node 2,,,,,
R1,D077,Node 3,,,,,
R1,D077,Conclusion,,,,,
R1,D077,Confirmation,,,,,
R1,D078,Node 1,,,,,
R1,D078,Node 2,,,,,
R1,D078,Node 3,,,,,
R1,D078,Conclusion,,,,,
R1,D078,Confirmation,,,,,
R1,D079,Node 1,,,,,
R1,D079,Node 2,,,,,
R1,D079,Node 3,,,,,
R1,D079,Conclusion,,,,,
R1,D079,Confirmation,,,,,
R1,D080,Node 1,,,,,
R1,D080,Node 2,,,,,
R1,D080,Node 3,,,,,
R1,D080,Conclusion,,,,,
R1,D080,Confirmation,,,,,
R1,D081,Node 1,,,,,
R1,D081,Node 2,,,,,
R1,D081,Node 3,,,,,
R1,D081,Conclusion,,,,,
R1,D081,Confirmation,,,,,
R1,D082,Node 1,,,,,
R1,D082,Node 2,,,,,
R1,D082,Node 3,,,,,
R1,D082,Conclusion,,,,,
R1,D082,Confirmation,,,,,
R1,D083,Node 1,,,,,
R1,D083,Node 2,,,,,
R1,D083,Node 3,,,,,
R1,D083,Conclusion,,,,,
R1,D083,Confirmation,,,,,
R1,D084,Node 1,,,,,
R1,D084,Node 2,,,,,
R1,D084,Node 3,,,,,
R1,D084,Conclusion,,,,,
R1,D084,Confirmation,,,,,
R1,D085,Node 1,,,,,
R1,D085,Node 2,,,,,
R1,D085,Node 3,,,,,
R1,D085,Conclusion,,,,,
R1,D085,Confirmation,,,,,
R1,D086,Node 1,,,,,
R1,D086,Node 2,,,,,
R1,D086,Node 3,,,,,
R1,D086,Conclusion,,,,,
R1,D086,Confirmation,,,,,
R1,D087,Node 1,,,,,
R1,D087,Node 2,,,,,
R1,D087,Node 3,,,,,
R1,D087,Conclusion,,,,,
R1,D087,Confirmation,,,,,
R1,D088,Node 1,,,,,
R1,D088,Node 2,,,,,
R1,D088,Node 3,,,,,
R1,D088,Conclusion,,,,,
R1,D088,Confirmation,,,,,
R1,D089,Node 1,,,,,
R1,D089,Node 2,,,,,
R1,D089,Node 3,,,,,
R1,D089,Conclusion,,,,,
R1,D089,Confirmation,,,,,
R1,D090,Node 1,,,,,
R1,D090,Node 2,,,,,
R1,D090,Node 3,,,,,
R1,D090,Conclusion,,,,,
R1,D090,Confirmation,,,,,
R1,D091,Node 1,,,,,
R1,D091,Node 2,,,,,
R1,D091,Node 3,,,,,
R1,D091,Conclusion,,,,,
R1,D091,Confirmation,,,,,
R1,D092,Node 1,,,,,
R1,D092,Node 2,,,,,
R1,D092,Node 3,,,,,
R1,D092,Conclusion,,,,,
R1,D092,Confirmation,,,,,
R1,D093,Node 1,,,,,
R1,D093,Node 2,,,,,
R1,D093,Node 3,,,,,
R1,D093,Conclusion,,,,,
R1,D093,Confirmation,,,,,
R1,D094,Node 1,,,,,
R1,D094,Node 2,,,,,
R1,D094,Node 3,,,,,
R1,D094,Conclusion,,,,,
R1,D094,Confirmation,,,,,
R1,D095,Node 1,,,,,
R1,D095,Node 2,,,,,
R1,D095,Node 3,,,,,
R1,D095,Conclusion,,,,,
R1,D095,Confirmation,,,,,
R1,D096,Node 1,,,,,
R1,D096,Node 2,,,,,
R1,D096,Node 3,,,,,
R1,D096,Conclusion,,,,,
R1,D096,Confirmation,,,,,
R1,D097,Node 1,,,,,
R1,D097,Node 2,,,,,
R1,D097,Node 3,,,,,
R1,D097,Conclusion,,,,,
R1,D097,Confirmation,,,,,
R1,D098,Node 1,,,,,
R1,D098,Node 2,,,,,
R1,D098,Node 3,,,,,
R1,D098,Conclusion,,,,,
R1,D098,Confirmation,,,,,
R1,D099,Node 1,,,,,
R1,D099,Node 2,,,,,
R1,D099,Node 3,,,,,
R1,D099,Conclusion,,,,,
R1,D099,Confirmation,,,,,
R1,D100,Node 1,,,,,
R1,D100,Node 2,,,,,
R1,D100,Node 3,,,,,
R1,D100,Conclusion,,,,,
R1,D100,Confirmation,,,,,
