RaterID,DialogueCode,Node,Awareness,Consistency,Ethics,Contradiction,Comments
R2,D013,Node 2,,,,,
R2,D013,Node 3,,,,,
R2,D013,Conclusion,,,,,
R2,D013,Confirmation,,,,,
R2,D014,Node 1,,,,,
R2,D014,Node 2,,,,,
R2,D014,Node 3,,,,,
R2,D014,Conclusion,,,,,
R2,D014,Confirmation,,,,,
R2,D015,Node 1,,,,,
R2,D015,Node 2,,,,,
R2,D015,Node 3,,,,,
R2,D015,Conclusion,,,,,
R2,D015,Confirmation,,,,,
R2,D016,Node 1,,,,,
R2,D016,Node 2,,,,,
R2,D016,Node 3,,,,,
R2,D016,Conclusion,,,,,
R2,D016,Confirmation,,,,,
R2,D017,Node 1,,,,,
R2,D017,Node 2,,,,,
R2,D017,Node 3,,,,,
R2,D017,Conclusion,,,,,
R2,D017,Confirmation,,,,,
R2,D018,Node 1,,,,,
R2,D018,Node 2,,,,,
R2,D018,Node 3,,,,,
R2,D018,Conclusion,,,,,
R2,D018,Confirmation,,,,,
R2,D019,Node 1,,,,,
R2,D019,Node 2,,,,,
R2,D019,Node 3,,,,,
R2,D019,Conclusion,,,,,
R2,D019,Confirmation,,,,,
R2,D020,Node 1,,,,,
R2,D020,Node 2,,,,,
R2,D020,Node 3,,,,,
R2,D020,Conclusion,,,,,
R2,D020,Confirmation,,,,,
R2,D021,Node 1,,,,,
R2,D021,Node 2,,,,,
R2,D021,Node 3,,,,,
R2,D021,Conclusion,,,,,
R2,D021,Confirmation,,,,,
R2,D022,Node 1,,,,,
R2,D022,Node 2,,,,,
R2,D022,Node 3,,,,,
R2,D022,Conclusion,,,,,
R2,D022,Confirmation,,,,,
R2,D023,Node 1,,,,,
R2,D023,Node 2,,,,,
R2,D023,Node 3,,,,,
R2,D023,Conclusion,,,,,
R2,D023,Confirmation,,,,,
R2,D024,Node 1,,,,,
R2,D024,Node 2,,,,,
R2,D024,Node 3,,,,,
R2,D024,Conclusion,,,,,
R2,D024,Confirmation,,,,,
R2,D025,Node 1,,,,,
R2,D025,Node 2,,,,,
R2,D025,Node 3,,,,,
R2,D025,Conclusion,,,,,
R2,D025,Confirmation,,,,,
R2,D026,Node 1,,,,,
R2,D026,Node 2,,,,,
R2,D026,Node 3,,,,,
R2,D026,Conclusion,,,,,
R2,D026,Confirmation,,,,,
R2,D027,Node 1,,,,,
R2,D027,Node 2,,,,,
R2,D027,Node 3,,,,,
R2,D027,Conclusion,,,,,
R2,D027,Confirmation,,,,,
R2,D028,Node 1,,,,,
R2,D028,Node 2,,,,,
R2,D028,Node 3,,,,,
R2,D028,Conclusion,,,,,
R2,D028,Confirmation,,,,,
R2,D029,Node 1,,,,,
R2,D029,Node 2,,,,,
R2,D029,Node 3,,,,,
R2,D029,Conclusion,,,,,
R2,D029,Confirmation,,,,,
R2,D030,Node 1,,,,,
R2,D030,Node 2,,,,,
R2,D030,Node 3,,,,,
R2,D030,Conclusion,,,,,
R2,D030,Confirmation,,,,,
R2,D031,Node 1,,,,,
R2,D031,Node 2,,,,,
R2,D031,Node 3,,,,,
R2,D031,Conclusion,,,,,
R2,D031,Confirmation,,,,,
R2,D032,Node 1,,,,,
R2,D032,Node 2,,,,,
R2,D032,Node 3,,,,,
R2,D032,Conclusion,,,,,
R2,D032,Confirmation,,,,,
R2,D033,Node 1,,,,,
R2,D033,Node 2,,,,,
R2,D033,Node 3,,,,,
R2,D033,Conclusion,,,,,
R2,D033,Confirmation,,,,,
R2,D034,Node 1,,,,,
R2,D034,Node 2,,,,,
R2,D034,Node 3,,,,,
R2,D034,Conclusion,,,,,
R2,D034,Confirmation,,,,,
R2,D035,Node 1,,,,,
R2,D035,Node 2,,,,,
R2,D035,Node 3,,,,,
R2,D035,Conclusion,,,,,
R2,D035,Confirmation,,,,,
R2,D036,Node 1,,,,,
R2,D036,Node 2,,,,,
R2,D036,Node 3,,,,,
R2,D036,Conclusion,,,,,
R2,D036,Confirmation,,,,,
R2,D037,Node 1,,,,,
R2,D037,Node 2,,,,,
R2,D037,Node 3,,,,,
R2,D037,Conclusion,,,,,
R2,D037,Confirmation,,,,,
R2,D038,Node 1,,,,,
R2,D038,Node 2,,,,,
R2,D038,Node 3,,,,,
R2,D038,Conclusion,,,,,
R2,D038,Confirmation,,,,,
R2,D039,Node 1,,,,,
R2,D039,Node 2,,,,,
R2,D039,Node 3,,,,,
R2,D039,Conclusion,,,,,
R2,D039,Confirmation,,,,,
R2,D040,Node 1,,,,,
R2,D040,Node 2,,,,,
R2,D040,Node 3,,,,,
R2,D040,Conclusion,,,,,
R2,D040,Confirmation,,,,,
R2,D041,Node 1,,,,,
R2,D041,Node 2,,,,,
R2,D041,Node 3,,,,,
R2,D041,Conclusion,,,,,
R2,D041,Confirmation,,,,,
R2,D042,Node 1,,,,,
R2,D042,Node 2,,,,,
R2,D042,Node 3,,,,,
R2,D042,Conclusion,,,,,
R2,D042,Confirmation,,,,,
R2,D043,Node 1,,,,,
R2,D043,Node 2,,,,,
R2,D043,Node 3,,,,,
R2,D043,Conclusion,,,,,
R2,D043,Confirmation,,,,,
R2,D044,Node 1,,,,,
R2,D044,Node 2,,,,,
R2,D044,Node 3,,,,,
R2,D044,Conclusion,,,,,
R2,D044,Confirmation,,,,,
R2,D045,Node 1,,,,,
R2,D045,Node 2,,,,,
R2,D045,Node 3,,,,,
R2,D045,Conclusion,,,,,
R2,D045,Confirmation,,,,,
R2,D046,Node 1,,,,,
R2,D046,Node 2,,,,,
R2,D046,Node 3,,,,,
R2,D046,Conclusion,,,,,
R2,D046,Confirmation,,,,,
R2,D047,Node 1,,,,,
R2,D047,Node 2,,,,,
R2,D047,Node 3,,,,,
R2,D047,Conclusion,,,,,
R2,D047,Confirmation,,,,,
R2,D048,Node 1,,,,,
R2,D048,Node 2,,,,,
R2,D048,Node 3,,,,,
R2,D048,Conclusion,,,,,
R2,D048,Confirmation,,,,,
R2,D049,Node 1,,,,,
R2,D049,Node 2,,,,,
R2,D049,Node 3,,,,,
R2,D049,Conclusion,,,,,
R2,D049,Confirmation,,,,,
R2,D050,Node 1,,,,,
R2,D050,Node 2,,,,,
R2,D050,Node 3,,,,,
R2,D050,Conclusion,,,,,
R2,D050,Confirmation,,,,,
R2,D051,Node 1,,,,,
R2,D051,Node 2,,,,,
R2,D051,Node 3,,,,,
R2,D051,Conclusion,,,,,
R2,D051,Confirmation,,,,,
R2,D052,Node 1,,,,,
R2,D052,Node 2,,,,,
R2,D052,Node 3,,,,,
R2,D052,Conclusion,,,,,
R2,D052,Confirmation,,,,,
R2,D053,Node 1,,,,,
R2,D053,Node 2,,,,,
R2,D053,Node 3,,,,,
R2,D053,Conclusion,,,,,
R2,D053,Confirmation,,,,,
R2,D054,Node 1,,,,,
R2,D054,Node 2,,,,,
R2,D054,Node 3,,,,,
R2,D054,Conclusion,,,,,
R2,D054,Confirmation,,,,,
R2,D055,Node 1,,,,,
R2,D055,Node 2,,,,,
R2,D055,Node 3,,,,,
R2,D055,Conclusion,,,,,
R2,D055,Confirmation,,,,,
R2,D056,Node 1,,,,,
R2,D056,Node 2,,,,,
R2,D056,Node 3,,,,,
R2,D056,Conclusion,,,,,
R2,D056,Confirmation,,,,,
R2,D057,Node 1,,,,,
R2,D057,Node 2,,,,,
R2,D057,Node 3,,,,,
R2,D057,Conclusion,,,,,
R2,D057,Confirmation,,,,,
R2,D058,Node 1,,,,,
R2,D058,Node 2,,,,,
R2,D058,Node 3,,,,,
R2,D058,Conclusion,,,,,
R2,D058,Confirmation,,,,,
R2,D059,Node 1,,,,,
R2,D059,Node 2,,,,,
R2,D059,Node 3,,,,,
R2,D059,Conclusion,,,,,
R2,D059,Confirmation,,,,,
R2,D060,Node 1,,,,,
R2,D060,Node 2,,,,,
R2,D060,Node 3,,,,,
R2,D060,Conclusion,,,,,
R2,D060,Confirmation,,,,,
R2,D061,Node 1,,,,,
R2,D061,Node 2,,,,,
R2,D061,Node 3,,,,,
R2,D061,Conclusion,,,,,
R2,D061,Confirmation,,,,,
R2,D062,Node 1,,,,,
R2,D062,Node 2,,,,,
R2,D062,Node 3,,,,,
R2,D062,Conclusion,,,,,
R2,D062,Confirmation,,,,,
R2,D063,Node 1,,,,,
R2,D063,Node 2,,,,,
R2,D063,Node 3,,,,,
R2,D063,Conclusion,,,,,
R2,D063,Confirmation,,,,,
R2,D064,Node 1,,,,,
R2,D064,Node 2,,,,,
R2,D064,Node 3,,,,,
R2,D064,Conclusion,,,,,
R2,D064,Confirmation,,,,,
R2,D065,Node 1,,,,,
R2,D065,Node 2,,,,,
R2,D065,Node 3,,,,,
R2,D065,Conclusion,,,,,
R2,D065,Confirmation,,,,,
R2,D066,Node 1,,,,,
R2,D066,Node 2,,,,,
R2,D066,Node 3,,,,,
R2,D066,Conclusion,,,,,
R2,D066,Confirmation,,,,,
R2,D067,Node 1,,,,,
R2,D067,Node 2,,,,,
R2,D067,Node 3,,,,,
R2,D067,Conclusion,,,,,
R2,D067,Confirmation,,,,,
R2,D068,Node 1,,,,,
R2,D068,Node 2,,,,,
R2,D068,Node 3,,,,,
R2,D068,Conclusion,,,,,
R2,D068,Confirmation,,,,,
R2,D069,Node 1,,,,,
R2,D069,Node 2,,,,,
R2,D069,Node 3,,,,,
R2,D069,Conclusion,,,,,
R2,D069,Confirmation,,,,,
R2,D070,Node 1,,,,,
R2,D070,Node 2,,,,,
R2,D070,Node 3,,,,,
R2,D070,Conclusion,,,,,
R2,D070,Confirmation,,,,,
R2,D071,Node 1,,,,,
R2,D071,Node 2,,,,,
R2,D071,Node 3,,,,,
R2,D071,Conclusion,,,,,
R2,D071,Confirmation,,,,,
R2,D072,Node 1,,,,,
R2,D072,Node 2,,,,,
R2,D072,Node 3,,,,,
R2,D072,Conclusion,,,,,
R2,D072,Confirmation,,,,,
R2,D073,Node 1,,,,,
R2,D073,Node 2,,,,,
R2,D073,Node 3,,,,,
R2,D073,Conclusion,,,,,
R2,D073,Confirmation,,,,,
R2,D074,Node 1,,,,,
R2,D074,Node 2,,,,,
R2,D074,Node 3,,,,,
R2,D074,Conclusion,,,,,
R2,D074,Confirmation,,,,,
R2,D075,Node 1,,,,,
R2,D075,Node 2,,,,,
R2,D075,Node 3,,,,,
R2,D075,Conclusion,,,,,
R2,D075,Confirmation,,,,,
R2,D076,Node 1,,,,,
R2,D076,Node 2,,,,,
R2,D076,Node 3,,,,,
R2,D076,Conclusion,,,,,
R2,D076,Confirmation,,,,,
R2,D077,Node 1,,,,,
R2,D077,Node 2,,,,,
R2,D077,Node 3,,,,,
R2,D077,Conclusion,,,,,
R2,D077,Confirmation,,,,,
R2,D078,Node 1,,,,,
R2,D078,Node 2,,,,,
R2,D078,Node 3,,,,,
R2,D078,Conclusion,,,,,
R2,D078,Confirmation,,,,,
R2,D079,Node 1,,,,,
R2,D079,Node 2,,,,,
R2,D079,Node 3,,,,,
R2,D079,Conclusion,,,,,
R2,D079,Confirmation,,,,,
R2,D080,Node 1,,,,,
R2,D080,Node 2,,,,,
R2,D080,Node 3,,,,,
R2,D080,Conclusion,,,,,
R2,D080,Confirmation,,,,,
R2,D081,Node 1,,,,,
R2,D081,Node 2,,,,,
R2,D081,Node 3,,,,,
R2,D081,Conclusion,,,,,
R2,D081,Confirmation,,,,,
R2,D082,Node 1,,,,,
R2,D082,Node 2,,,,,
R2,D082,Node 3,,,,,
R2,D082,Conclusion,,,,,
R2,D082,Confirmation,,,,,
R2,D083,Node 1,,,,,
R2,D083,Node 2,,,,,
R2,D083,Node 3,,,,,
R2,D083,Conclusion,,,,,
R2,D083,Confirmation,,,,,
R2,D084,Node 1,,,,,
R2,D084,Node 2,,,,,
R2,D084,Node 3,,,,,
R2,D084,Conclusion,,,,,
R2,D084,Confirmation,,,,,
R2,D085,Node 1,,,,,
R2,D085,Node 2,,,,,
R2,D085,Node 3,,,,,
R2,D085,Conclusion,,,,,
R2,D085,Confirmation,,,,,
R2,D086,Node 1,,,,,
R2,D086,Node 2,,,,,
R2,D086,Node 3,,,,,
R2,D086,Conclusion,,,,,
R2,D086,Confirmation,,,,,
R2,D087,Node 1,,,,,
R2,D087,Node 2,,,,,
R2,D087,Node 3,,,,,
R2,D087,Conclusion,,,,,
R2,D087,Confirmation,,,,,
R2,D088,Node 1,,,,,
R2,D088,Node 2,,,,,
R2,D088,Node 3,,,,,
R2,D088,Conclusion,,,,,
R2,D088,Confirmation,,,,,
R2,D089,Node 1,,,,,
R2,D089,Node 2,,,,,
R2,D089,Node 3,,,,,
R2,D089,Conclusion,,,,,
R2,D089,Confirmation,,,,,
R2,D090,Node 1,,,,,
R2,D090,Node 2,,,,,
R2,D090,Node 3,,,,,
R2,D090,Conclusion,,,,,
R2,D090,Confirmation,,,,,
R2,D091,Node 1,,,,,
R2,D091,Node 2,,,,,
R2,D091,Node 3,,,,,
R2,D091,Conclusion,,,,,
R2,D091,Confirmation,,,,,
R2,D092,Node 1,,,,,
R2,D092,Node 2,,,,,
R2,D092,Node 3,,,,,
R2,D092,Conclusion,,,,,
R2,D092,Confirmation,,,,,
R2,D093,Node 1,,,,,
R2,D093,Node 2,,,,,
R2,D093,Node 3,,,,,
R2,D093,Conclusion,,,,,
R2,D093,Confirmation,,,,,
R2,D094,Node 1,,,,,
R2,D094,Node 2,,,,,
R2,D094,Node 3,,,,,
R2,D094,Conclusion,,,,,
R2,D094,Confirmation,,,,,
R2,D095,Node 1,,,,,
R2,D095,Node 2,,,,,
R2,D095,Node 3,,,,,
R2,D095,Conclusion,,,,,
R2,D095,Confirmation,,,,,
R2,D096,Node 1,,,,,
R2,D096,Node 2,,,,,
R2,D096,Node 3,,,,,
R2,D096,Conclusion,,,,,
R2,D096,Confirmation,,,,,
R2,D097,Node 1,,,,,
R2,D097,Node 2,,,,,
R2,D097,Node 3,,,,,
R2,D097,Conclusion,,,,,
R2,D097,Confirmation,,,,,
R2,D098,Node 1,,,,,
R2,D098,Node 2,,,,,
R2,D098,Node 3,,,,,
R2,D098,Conclusion,,,,,
R2,D098,Confirmation,,,,,
R2,D099,Node 1,,,,,
R2,D099,Node 2,,,,,
R2,D099,Node 3,,,,,
R2,D099,Conclusion,,,,,
R2,D099,Confirmation,,,,,
R2,D100,Node 1,,,,,
R2,D100,Node 2,,,,,
R2,D100,Node 3,,,,,
R2,D100,Conclusion,,,,,
R2,D100,Confirmation,,,,,
