DialogueCode,file,provider,model_code,case_id,condition
D071,xai__case07__with_context.jsonl,xai,M1,7,with_context
D072,google__case01__with_context.jsonl,google,M5,1,with_context
D073,deepseek__case07__without_context.jsonl,deepseek,M2,7,without_context
D074,google__case04__with_context.jsonl,google,M5,4,with_context
D075,openai__case07__without_context.jsonl,openai,M4,7,without_context
D076,anthropic__case08__with_context.jsonl,anthropic,M3,8,with_context
D077,openai__case04__with_context.jsonl,openai,M4,4,with_context
D078,openai__case02__with_context.jsonl,openai,M4,2,with_context
D079,xai__case02__with_context.jsonl,xai,M1,2,with_context
D080,google__case10__with_context.jsonl,google,M5,10,with_context
D081,xai__case06__with_context.jsonl,xai,M1,6,with_context
D082,anthropic__case06__with_context.jsonl,anthropic,M3,6,with_context
D083,xai__case10__without_context.jsonl,xai,M1,10,without_context
D084,anthropic__case09__without_context.jsonl,anthropic,M3,9,without_context
D085,deepseek__case05__with_context.jsonl,deepseek,M2,5,with_context
D086,google__case03__without_context.jsonl,google,M5,3,without_context
D087,google__case06__without_context.jsonl,google,M5,6,without_context
D088,google__case04__without_context.jsonl,google,M5,4,without_context
D089,openai__case07__with_context.jsonl,openai,M4,7,with_context
D090,google__case07__without_context.jsonl,google,M5,7,without_context
D091,xai__case04__with_context.jsonl,xai,M1,4,with_context
D092,deepseek__case08__with_context.jsonl,deepseek,M2,8,with_context
D093,xai__case04__without_context.jsonl,xai,M1,4,without_context
D094,deepseek__case09__without_context.jsonl,deepseek,M2,9,without_context
D095,xai__case09__with_context.jsonl,xai,M1,9,with_context
D096,deepseek__case02__without_context.jsonl,deepseek,M2,2,without_context
D097,openai__case09__without_context.jsonl,openai,M4,9,without_context
D098,google__case05__with_context.jsonl,google,M5,5,with_context
D099,anthropic__case03__without_context.jsonl,anthropic,M3,3,without_context
D100,openai__case10__with_context.jsonl,openai,M4,10,with_context
